N,d,l,o,r,m,estimate,target
1000,3,0.75,1.4142135623730951,8,Sfit,-0.1067045113900791,0.0
500,4,0.75,1.4142135623730951,8,Sfit,0.0013903298133625844,0.0
1000,4,0.75,1.4142135623730951,8,Sfit,-0.06633161903872407,0.0
500,1,1.75,1.4142135623730951,8,Sfit,0.14846497072933426,0.0
1000,1,1.75,1.4142135623730951,8,Sfit,0.06829899795285531,0.0
500,2,1.75,1.4142135623730951,8,Sfit,-0.022162648187707565,0.0
1000,2,1.75,1.4142135623730951,8,Sfit,0.22960382740705632,0.0
500,3,1.75,1.4142135623730951,8,Sfit,0.2099188967790079,0.0
1000,3,1.75,1.4142135623730951,8,Sfit,0.2557286903030929,0.0
500,4,1.75,1.4142135623730951,8,Sfit,0.21462370917195556,0.0
1000,4,1.75,1.4142135623730951,8,Sfit,0.06875497836716038,0.0
500,1,0.75,1.0,9,Sfit,-0.12711793194774687,0.0
1000,1,0.75,1.0,9,Sfit,-0.07098998902952375,0.0
500,2,0.75,1.0,9,Sfit,0.08407114574124212,0.0
1000,2,0.75,1.0,9,Sfit,0.12959542612593017,0.0
500,3,0.75,1.0,9,Sfit,0.3173600333345185,0.0
1000,3,0.75,1.0,9,Sfit,0.26077614008142563,0.0
500,4,0.75,1.0,9,Sfit,-0.03400405164689615,0.0
1000,4,0.75,1.0,9,Sfit,-0.022767866722707922,0.0
500,1,1.75,1.0,9,Sfit,0.0935548893585547,0.0
1000,1,1.75,1.0,9,Sfit,0.12568226071121177,0.0
500,2,1.75,1.0,9,Sfit,0.17171422326250319,0.0
1000,2,1.75,1.0,9,Sfit,0.08699422798371906,0.0
500,3,1.75,1.0,9,Sfit,0.39961341089279745,0.0
1000,3,1.75,1.0,9,Sfit,-0.21522918612696862,0.0
500,4,1.75,1.0,9,Sfit,-0.09825061146748505,0.0
1000,4,1.75,1.0,9,Sfit,-0.04075886870688906,0.0
500,1,0.75,1.4142135623730951,9,Sfit,-0.03751196437238138,0.0
1000,1,0.75,1.4142135623730951,9,Sfit,-0.07563546276769008,0.0
500,2,0.75,1.4142135623730951,9,Sfit,0.034817977955224844,0.0
1000,2,0.75,1.4142135623730951,9,Sfit,0.14881586160908172,0.0
500,3,0.75,1.4142135623730951,9,Sfit,0.2457635001926846,0.0
1000,3,0.75,1.4142135623730951,9,Sfit,0.07133747175376227,0.0
500,4,0.75,1.4142135623730951,9,Sfit,-0.0891061771885144,0.0
1000,4,0.75,1.4142135623730951,9,Sfit,0.044338703346796744,0.0
500,1,1.75,1.4142135623730951,9,Sfit,0.08695704726480104,0.0
1000,1,1.75,1.4142135623730951,9,Sfit,0.13253052345766878,0.0
500,2,1.75,1.4142135623730951,9,Sfit,0.16286150992335782,0.0
1000,2,1.75,1.4142135623730951,9,Sfit,-0.0057785299628167214,0.0
